id,time,lat,lon,temp,precip,cloudcover,humidity,pressure,sunset,winddir,windgust,windspeed,venue_city,home_country_id
10419370,2018-09-26T19:00:00,49.894209,2.263312,18.0,0.0,0.0,47.78,1032.2,2018-09-26T19:40:43+02:00,135.0,8.2,3.4,Amiens,17
10419371,2018-09-26T19:00:00,44.897222,-0.561667,26.9,0.0,0.0,34.56,1026.8,2018-09-26T19:52:37+02:00,118.0,34.2,20.2,Bordeaux,17
10419372,2018-09-26T19:00:00,49.179461,-0.396767,16.9,0.0,0.0,59.61,1031.9,2018-09-26T19:51:26+02:00,30.0,24.0,7.5,Caen,17
10419373,2018-09-26T19:00:00,47.324383,5.068342,20.8,0.0,0.0,37.62,1031.3,2018-09-26T19:29:50+02:00,138.0,11.0,3.6,Dijon,17
10419374,2018-09-26T19:00:00,43.269722,5.395833,20.9,0.0,0.0,57.4,1032.0,2018-09-26T19:29:00+02:00,183.0,35.8,15.2,Marseille,17
10419375,2018-09-25T19:00:00,43.727606,7.415614,19.7,0.0,57.1,56.78,1027.2,2018-09-25T19:22:43+02:00,232.0,1.4,1.7,Monaco,75285
10419376,2018-09-25T19:00:00,47.255631,-1.525375,17.7,0.0,0.0,37.68,,2018-09-25T19:58:13+02:00,47.0,11.8,11.6,Nantes,17
10419377,2018-09-26T19:00:00,43.815972,4.359278,21.0,0.0,0.0,55.48,1032.2,2018-09-26T19:33:05+02:00,225.0,28.0,12.0,Nîmes,17
10419378,2018-09-26T21:00:00,48.841389,2.253056,15.3,0.0,0.8,49.86,1031.9,2018-09-26T19:40:54+02:00,58.0,10.1,4.6,Paris,17
10419379,2018-09-25T21:00:00,43.583056,1.434167,18.9,0.0,27.4,45.86,,2018-09-25T19:46:37+02:00,209.0,2.0,1.7,Toulouse,17
10419380,2018-09-29T20:00:00,47.460458,-0.530741,15.7,0.0,0.0,50.9,1020.8,2018-09-29T19:46:05+02:00,27.0,18.6,9.4,Angers,17
10419381,2018-09-29T20:00:00,49.179461,-0.396767,13.1,0.0,0.4,70.5,1023.1,2018-09-29T19:45:01+02:00,20.0,22.3,9.3,Caen,17
